1,2520.8698,13.43641093,1
2,1265.1288,53.41843969,1.99257957
3,854.4184,33.58045684,2.950392688
4,632.427,9.159930049,3.986024948
5,512.1098,4.213740583,4.922518179
6,431.1548,5.377838107,5.846785888
7,358.4574,1.344046614,7.03255059
8,313.2542,0.2546678229,8.047361536
9,284.8288,2.334840723,8.850473688
10,252.5136,0.2545767075,9.983105068
11,240.7894,0.2104621106,10.46918926
12,210.8096,0.2289406037,11.95804081
13,196.2208,1.527437953,12.84710795
14,187.2336,7.498399783,13.46376826
15,173.3988,2.703750303,14.53798873
16,159.7884,0.1483384643,15.77630041
17,150.446,0.1268463638,16.75597756
18,142.1688,0.08223259694,17.73152619
19,135.488,0.1011780609,18.60585292
20,129.0912,0.1652352868,19.52782064
21,125.146,2.243630094,20.14343087
22,117.9986,0.8200163413,21.36355686
23,112.5884,0.09627720395,22.39013788
24,109.0892,0.2538989957,23.1083352
25,106.227,2.508854021,23.73097047
26,100.7964,0.1759283945,25.00952217
27,96.8134,0.1073419769,26.03843889
28,93.6044,0.2380604965,26.93110367
29,91.7926,1.876941342,27.4626691
30,94.3958,1.996845312,26.7053174
31,86.867,0.3461069199,29.01987867
32,83.222,0.114166545,30.29090625
